field1,Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,IsOld,NumberTimePond,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyDebt,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,MonthlyPerPerson,MonthlyBalance,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs,0 probability,1 probability
281,282,0,0.991667222,36,0,1,1,0.554878049,3002.4451231390003,5411,10,2705.5,2705.5,0,2,0,1,0,0.72001,0.27999
282,283,0,0.6914884179999999,42,0,0,0,0.272721679,4431.7272837499995,16250,11,8125.0,8125.0,0,1,0,1,0,0.91667,0.08333
288,289,0,0.074256375,49,0,0,0,0.34793041399999997,1739.6520699999999,5000,11,1250.0,3750.0,0,2,0,3,0,0.97349,0.02651
292,293,0,0.679813777,83,1,0,0,0.6895897559999999,2907.310411296,4216,6,4216.0,0.0,0,2,0,0,0,0.97024,0.02976
294,295,0,0.371875401,29,0,0,0,0.53628857,1233.4637109999999,2300,9,575.0,1725.0,0,1,0,3,0,0.84583,0.15417
300,301,0,0.25889775,33,0,0,0,0.537441339,2633.4625611,4900,3,2450.0,2450.0,0,1,0,1,0,0.92906,0.07094
301,302,0,0.0,55,0,1,1,0.03988553,222.96011270000002,5590,8,5590.0,0.0,0,0,0,0,0,0.94598,0.05402
302,303,0,0.035940506000000004,46,0,0,0,0.271186441,1807.728815706,6666,10,1666.5,4999.5,0,1,0,3,0,0.95895,0.04105
304,305,0,0.465238835,66,0,3,0,0.39142767100000003,1241.608572412,3172,8,3172.0,0.0,1,1,0,0,0,0.90788,0.09212
306,307,0,0.6964116709999999,52,0,0,0,0.408871921,4497.591131,11000,11,2200.0,8800.0,0,1,0,4,0,0.9272,0.0728
311,312,0,0.016598893,30,0,0,0,0.13657561599999998,204.86342399999998,1500,5,1500.0,0.0,0,0,0,0,0,0.91271,0.08729
313,314,0,0.093638481,49,0,0,0,0.042836572999999996,356.95716280899995,8333,10,4166.5,4166.5,0,0,0,1,0,0.97999,0.02001
314,315,0,0.0,37,0,0,0,0.184027338,1453.8159702,7900,5,1316.6666666666667,6583.333333333333,0,1,0,5,0,0.91944,0.08056
317,318,0,0.948978489,57,0,0,0,0.043744532,349.956256,8000,3,4000.0,4000.0,0,0,0,1,0,0.95118,0.04882
328,329,0,0.284236153,45,0,1,1,0.318890815,2391.6811125,7500,9,2500.0,5000.0,0,1,0,2,0,0.89299,0.10701
330,331,0,0.6877790970000001,62,0,0,0,0.24947116100000002,1768.7505314900002,7090,15,7090.0,0.0,0,0,0,0,0,0.97281,0.02719
334,335,1,0.03719769,47,0,0,0,0.03975841,993.96025,25000,11,6250.0,18750.0,0,1,0,3,0,0.96962,0.03038
347,348,0,0.049529205,61,0,0,0,542.0,542.0,,15,,,0,0,0,0,0,0.97879,0.02121
351,352,0,0.0,58,0,0,0,8380.0,8380.0,,20,,,0,5,0,0,0,0.86496,0.13504
352,353,0,0.507972665,69,0,12,2,0.193935355,581.806065,3000,10,3000.0,0.0,2,0,2,0,1,0.37547,0.62453
360,361,0,0.143427862,67,0,0,0,0.119463561,676.880536626,5666,9,5666.0,0.0,0,0,0,0,0,0.98655,0.01345
362,363,0,0.496388581,56,0,0,0,0.170164956,3331.82983848,19580,12,9790.0,9790.0,0,1,0,1,0,0.98324,0.01676
374,375,0,0.292541492,74,1,0,0,0.164917541,329.835082,2000,3,2000.0,0.0,0,0,0,0,0,0.98333,0.01667
381,382,0,0.9999998999999999,22,0,0,0,130.0,130.0,,0,,,0,0,0,,0,0.91722,0.08278
383,384,0,0.903231566,57,0,0,0,0.13080895,683.8691906,5228,10,5228.0,0.0,0,0,0,0,0,0.95228,0.04772
395,396,0,6.85675E-4,83,1,0,0,0.0,,,4,,,0,0,0,0,0,0.99034,0.00966
400,401,0,0.134191514,63,0,0,0,926.5,926.5,1,9,1.0,0.0,0,1,0,0,0,0.98278,0.01722
403,404,0,0.203947961,46,0,4,1,1.206516118,6997.793484399999,5800,12,1933.3333333333333,3866.666666666667,1,4,0,2,1,0.4455,0.5545
407,408,0,0.368866624,55,0,0,0,0.437996083,4248.5620051,9700,18,9700.0,0.0,0,2,0,0,0,0.96249,0.03751
412,413,0,0.0,59,0,0,0,2113.0,2113.0,,13,,,0,2,0,,0,0.98547,0.01453
436,437,0,0.006999563,97,1,0,0,3.0,,,2,,,0,0,0,,0,0.99768,0.00232
442,443,0,0.922670104,40,0,0,0,0.207789429,1941.792214005,9345,7,9345.0,0.0,0,0,0,0,0,0.93604,0.06396
445,446,0,0.008737352,68,0,0,0,0.209965006,1259.790036,6000,28,6000.0,0.0,0,1,0,0,0,0.99324,0.00676
446,447,0,0.0,57,0,0,0,0.785229953,5326.214771199,6783,8,6783.0,0.0,0,3,0,0,0,0.95636,0.04364
454,455,0,0.069987933,33,0,0,0,0.11400478300000001,428.88599364600003,3762,7,3762.0,0.0,0,0,0,0,0,0.96452,0.03548
456,457,0,0.7406351609999999,39,0,0,0,0.432010059,2404.567988394,5566,7,5566.0,0.0,0,1,0,0,0,0.92773,0.07227
457,458,0,0.023382944,84,1,0,0,0.00912845,41.99087,4600,6,4600.0,0.0,0,0,0,0,0,0.99254,0.00746
468,469,1,0.9999998999999999,32,0,0,0,0.006731051,22.993270216,3416,1,854.0,2562.0,0,0,0,3,0,0.86011,0.13989
479,480,0,0.540204354,34,0,3,0,0.034395414,257.965605,7500,3,7500.0,0.0,1,0,0,0,0,0.73351,0.26649
483,484,0,0.045017363,72,1,0,0,0.020763906999999998,80.9792373,3900,8,3900.0,0.0,0,0,0,0,0,0.99004,0.00996
488,489,0,0.047587303,34,0,0,0,997.0,997.0,,4,,,0,0,0,,0,0.96131,0.03869
498,499,0,0.001124859,28,0,4,1,0.057990335,347.94201,6000,8,6000.0,0.0,1,0,0,0,0,0.53619,0.46381
501,502,0,0.090641506,69,0,0,0,0.016683266999999998,66.98331700499999,4015,2,4015.0,0.0,0,0,0,0,0,0.98515,0.01485
506,507,0,0.290320472,48,0,0,0,0.262848568,2101.737149728,7996,7,1999.0,5997.0,0,1,0,3,0,0.93482,0.06518
511,512,0,0.091201293,49,0,1,1,0.568886223,2844.4311150000003,5000,15,5000.0,0.0,0,2,0,0,0,0.93328,0.06672
516,517,0,0.065630892,31,0,0,0,0.162635688,853.837362,5250,10,5250.0,0.0,0,0,0,0,0,0.95282,0.04718
530,531,0,0.0,82,1,0,0,0.0,,,3,,,0,0,0,0,0,0.98949,0.01051
535,536,0,0.749602291,62,0,0,0,7963.0,7963.0,,7,,,0,2,0,3,0,0.72534,0.27466
555,556,0,0.40821598200000003,39,0,0,0,677.0,677.0,,4,,,0,0,0,2,0,0.88894,0.11106
558,559,0,0.004552998,34,0,0,0,3.0,,,2,,,0,0,0,0,0,0.94592,0.05408
561,562,0,0.162077194,38,0,0,0,0.024885359,1741.97513,70000,6,23333.333333333332,46666.66666666667,0,1,0,2,0,0.9888,0.0112
562,563,0,0.57073821,39,0,6,0,1314.0,1314.0,,5,,,2,2,0,0,1,0.40962,0.59038
565,566,0,0.0,75,1,0,0,0.5274314210000001,422.4725682210001,801,4,801.0,0.0,0,1,0,0,0,0.98628,0.01372
568,569,0,0.584844623,60,0,0,0,0.293637575,1762.706362725,6003,11,6003.0,0.0,0,1,0,0,0,0.97365,0.02635
580,581,0,0.30248201,46,0,0,0,0.34805720799999995,2749.6519431999996,7900,12,2633.3333333333335,5266.666666666666,0,1,0,2,0,0.92046,0.07954
593,594,0,0.18157994600000002,54,0,0,0,0.3539428,2140.6460544,6048,9,3024.0,3024.0,0,1,0,1,0,0.97271,0.02729
595,596,0,0.048911120999999995,63,0,0,0,0.102800764,645.897200212,6283,4,3141.5,3141.5,0,0,0,1,0,0.98637,0.01363
601,602,0,0.26925748899999996,44,0,0,0,0.607594937,911.3924055,1500,7,375.0,1125.0,0,0,0,3,0,0.91593,0.08407
608,609,0,0.09563478800000001,36,0,0,0,0.17526690399999997,393.82473328799995,2247,4,1123.5,1123.5,0,0,0,1,0,0.95657,0.04343
609,610,0,0.12480137599999999,62,0,0,0,0.5668944570000001,3732.4331048880003,6584,15,6584.0,0.0,0,2,0,0,0,0.9784,0.0216
613,614,0,0.184476515,32,0,0,0,0.44495604899999996,3188.555047134,7166,11,7166.0,0.0,0,2,0,0,0,0.93347,0.06653
627,628,0,0.346960384,41,0,0,0,1.432686655,2435.5673134999997,1700,13,566.6666666666666,1133.3333333333335,0,3,0,2,0,0.91103,0.08897
628,629,0,0.024305835,30,0,0,0,1581.0,1581.0,,6,,,0,1,0,0,0,0.87417,0.12583
629,630,0,0.9999998999999999,40,0,0,0,2866.0,2866.0,0,2,0.0,0.0,0,2,0,0,0,0.80959,0.19041
630,631,0,0.0,56,0,0,0,0.0,0.0,6200,2,6200.0,0.0,0,0,0,0,0,0.96953,0.03047
634,635,0,0.057887851,56,0,0,0,0.238127698,1047.7618712,4400,13,2200.0,2200.0,0,1,0,1,0,0.97617,0.02383
642,643,1,0.402345742,37,0,0,0,0.337622356,4276.6623834520005,12667,16,3166.75,9500.25,0,2,0,3,0,0.95663,0.04337
652,653,0,0.0,49,0,0,0,0.62273579,996.377264,1600,10,800.0,800.0,0,1,0,1,0,0.95284,0.04716
654,655,1,0.149314411,36,0,0,0,0.5583203729999999,2512.4416785,4500,9,4500.0,0.0,0,3,0,0,0,0.92645,0.07355
670,671,0,0.914867126,40,0,0,0,0.517037339,2533.4829611,4900,7,2450.0,2450.0,0,1,0,1,0,0.90573,0.09427
688,689,0,0.091106715,63,0,0,0,0.035418452,123.96458200000001,3500,5,3500.0,0.0,0,0,0,0,0,0.98426,0.01574
697,698,1,2066.0,58,0,3,0,0.27112148,1626.7288800000001,6000,8,3000.0,3000.0,1,1,0,1,0,0.96547,0.03453
700,701,0,0.003938695,75,1,0,0,0.19994921899999998,1574.8000488439998,7876,11,7876.0,0.0,0,2,0,0,0,0.99211,0.00789
702,703,0,0.160899231,33,0,0,0,0.182363527,607.817635491,3333,13,3333.0,0.0,0,0,0,0,0,0.94591,0.05409
703,704,0,0.25250536100000004,52,0,0,0,0.44259290100000004,2655.5574060000004,6000,13,2000.0,4000.0,0,1,0,2,0,0.94808,0.05192
722,723,0,0.47653563299999996,33,0,0,0,0.312937413,1564.687065,5000,4,5000.0,0.0,0,1,0,0,0,0.94541,0.05459
724,725,0,0.11618817099999999,33,0,0,0,0.043739065,174.95626000000001,4000,9,4000.0,0.0,0,0,0,0,0,0.95921,0.04079
729,730,0,0.029185402000000003,41,0,0,0,0.33629547299999996,1210.6637027999998,3600,5,3600.0,0.0,0,1,0,0,0,0.9618,0.0382
730,731,0,0.985092264,48,0,0,0,0.37690561100000003,1161.623093102,3082,4,3082.0,0.0,0,1,0,0,0,0.92772,0.07228
740,741,0,0.061214562,35,0,0,0,0.45369268100000004,9527.546301,21000,7,21000.0,0.0,0,2,0,0,0,0.92395,0.07605
748,749,0,0.0,57,0,0,0,0.335066493,3350.6649300000004,10000,11,2500.0,7500.0,0,2,0,3,0,0.96826,0.03174
753,754,0,0.471803323,60,0,0,0,0.365787835,3523.634214555,9633,12,4816.5,4816.5,0,1,0,1,0,0.98128,0.01872
758,759,0,0.025711592999999998,55,0,0,0,0.540702656,1892.459296,3500,8,1166.6666666666667,2333.333333333333,0,1,0,2,0,0.96531,0.03469
760,761,1,0.02331266,58,0,3,0,0.632371083,2562.367628316,4052,13,4052.0,0.0,1,2,0,0,0,0.85983,0.14017
768,769,1,0.0,32,0,0,0,0.44187375,1546.558125,3500,5,1166.6666666666667,2333.333333333333,0,1,0,2,0,0.90958,0.09042
769,770,0,0.07237774400000001,48,0,0,0,0.399050079,4788.600948,12000,9,12000.0,0.0,0,2,0,0,0,0.96338,0.03662
771,772,0,0.0,58,0,0,0,526.0,526.0,,5,,,0,1,0,1,0,0.94883,0.05117
783,784,0,0.004680652,29,0,0,0,0.057388522000000004,286.94261,5000,4,5000.0,0.0,0,0,0,0,0,0.93432,0.06568
785,786,0,0.9824778590000001,36,0,0,0,0.508163945,1524.4918349999998,3000,3,3000.0,0.0,0,1,0,0,0,0.90405,0.09595
787,788,0,0.01087466,82,1,0,0,0.001287001,9.998710769,7769,6,7769.0,0.0,0,0,0,0,0,0.99478,0.00522
791,792,0,0.9944287540000001,42,0,0,0,2336.0,2336.0,0,11,0.0,0.0,0,2,0,3,0,0.84201,0.15799
794,795,0,0.031593681,33,0,0,0,523.0,523.0,,3,,,0,0,0,0,0,0.91437,0.08563
800,801,1,0.962946947,50,0,2,0,0.68127587,2797.31872222,4106,8,4106.0,0.0,0,1,1,0,0,0.792,0.208
802,803,0,0.0,45,0,0,0,0.7358164540000001,7664.2641848640005,10416,11,5208.0,5208.0,0,4,0,1,0,0.87471,0.12529
804,805,0,0.134374585,63,0,0,0,111.0,111.0,,2,,,0,0,0,0,0,0.96617,0.03383
810,811,0,0.9999998999999999,24,0,0,0,0.0,0.0,3833,1,3833.0,0.0,0,0,0,0,0,0.87779,0.12221
811,812,0,0.682708972,41,0,4,4,0.38708711,5167.6129185,13350,8,6675.0,6675.0,0,4,0,1,1,0.40388,0.59612
813,814,0,0.013105862,76,1,0,0,736.0,736.0,,15,,,0,1,0,0,0,0.98712,0.01288
814,815,0,0.0,87,1,0,0,2.0,,,2,,,0,0,0,,0,0.99756,0.00244
816,817,0,0.0,46,0,0,0,0.10787812199999999,392.89212032399996,3642,11,728.4,2913.6,0,0,0,4,0,0.94809,0.05191
824,825,0,0.715720439,33,0,0,0,1.002499107,2806.9974996,2800,8,2800.0,0.0,0,2,0,0,0,0.88377,0.11623
828,829,0,0.0,31,0,0,0,0.432783608,865.5672159999999,2000,9,2000.0,0.0,0,1,0,0,0,0.93075,0.06925
830,831,0,0.524915836,32,0,0,0,969.0,969.0,,6,,,0,0,0,0,0,0.90728,0.09272
831,832,0,0.335445712,40,0,2,0,0.34467983799999996,1447.6553195999998,4200,6,4200.0,0.0,0,2,1,0,0,0.81996,0.18004
833,834,0,0.235225157,37,0,0,0,0.33503665899999996,1507.6649654999999,4500,5,2250.0,2250.0,0,1,0,1,0,0.92149,0.07851
834,835,0,0.0,63,0,0,0,779.0,779.0,,6,,,0,1,0,0,0,0.96346,0.03654
835,836,0,0.0,28,0,0,0,852.0,852.0,,3,,,0,0,0,,0,0.93994,0.06006
836,837,0,0.001901275,69,0,0,0,0.0,0.0,5455,6,5455.0,0.0,0,0,0,0,0,0.98062,0.01938
847,848,1,0.0,44,0,0,0,6046.0,6046.0,,9,,,0,3,0,0,0,0.7699,0.2301
851,852,0,0.047294357,57,0,0,0,0.447142596,2448.552855696,5476,14,5476.0,0.0,0,1,0,0,0,0.98113,0.01887
860,861,0,0.457154579,50,0,0,0,0.10342511800000001,1385.8965812000001,13400,7,4466.666666666667,8933.333333333332,0,0,0,2,0,0.94149,0.05851
865,866,0,0.128419662,59,0,0,0,0.22643396100000002,2490.773571,11000,10,11000.0,0.0,0,1,0,0,0,0.98397,0.01603
869,870,0,0.086492476,64,0,0,0,0.074734316,435.92526522799994,5833,8,2916.5,2916.5,0,1,0,1,0,0.98797,0.01203
873,874,0,0.09374176199999999,41,0,2,2,0.7181719259999999,2639.2818280499996,3675,10,1225.0,2450.0,0,3,0,2,0,0.7816,0.2184
876,877,0,0.041411471,45,0,0,0,0.008456176,73.99154,8750,3,2187.5,6562.5,0,0,0,3,0,0.95265,0.04735
880,881,0,0.9999998999999999,26,0,0,0,0.137820513,257.862179823,1871,1,1871.0,0.0,0,0,0,0,0,0.82155,0.17845
882,883,0,0.606025418,39,0,3,3,0.375647341,2973.6243513560003,7916,10,2638.6666666666665,5277.333333333334,0,2,0,2,1,0.47906,0.52094
890,891,0,0.19462574800000002,31,0,1,1,0.283571758,1228.716427414,4333,20,4333.0,0.0,0,0,0,0,0,0.91539,0.08461
897,898,0,0.12254432400000001,57,0,0,0,0.42893401,1858.57106533,4333,9,2166.5,2166.5,0,1,0,1,0,0.97911,0.02089
898,899,0,0.667833042,60,0,0,0,81.0,,,2,,,0,0,0,0,0,0.97023,0.02977
901,902,0,0.013767118,64,0,0,0,2004.0,2004.0,,10,,,0,2,0,0,0,0.95882,0.04118
906,907,0,0.020480494,35,0,0,0,1673.0,1673.0,,10,,,0,1,0,1,0,0.92073,0.07927
908,909,0,0.518186405,73,1,0,0,0.5048870910000001,4493.495109900001,8900,17,4450.0,4450.0,0,1,0,1,0,0.97284,0.02716
913,914,0,0.9999998999999999,36,0,0,0,0.194963754,510.80503547999996,2620,3,2620.0,0.0,0,0,0,0,0,0.88152,0.11848
918,919,0,0.004884836,34,0,0,0,0.47490494299999997,2497.5250952369997,5259,11,1753.0,3506.0,0,2,0,2,0,0.94567,0.05433
924,925,0,0.042759899999999997,52,0,0,0,7806.0,7806.0,,21,,,0,2,0,2,0,0.84436,0.15564
925,926,0,0.222506167,59,0,0,0,0.271467415,3094.7285309999997,11400,9,11400.0,0.0,0,2,0,0,0,0.97928,0.02072
927,928,0,0.028775625,44,0,0,0,0.137224283,702.8627775260001,5122,4,5122.0,0.0,0,0,0,0,0,0.96377,0.03623
929,930,0,0.018538176,74,1,0,0,1184.0,1184.0,,8,,,0,1,0,0,0,0.98237,0.01763
935,936,0,0.5262016620000001,54,0,4,4,0.343546258,8588.65645,25000,9,12500.0,12500.0,0,3,0,1,1,0.43401,0.56599
941,942,0,0.15364667699999998,34,0,0,0,1.220066377,4777.779932332,3916,7,3916.0,0.0,0,2,0,0,0,0.90283,0.09717
946,947,0,0.0,35,0,0,0,0.0,0.0,1500,3,1500.0,0.0,0,0,0,0,0,0.93284,0.06716
950,951,0,0.03452873,55,0,0,0,0.514162132,3684.4858379120005,7166,7,3583.0,3583.0,0,2,0,1,0,0.96262,0.03738
960,961,0,0.8335941579999999,44,0,0,0,178.0,178.0,,9,,,0,0,0,0,0,0.91275,0.08725
961,962,0,0.030327811,70,0,0,0,1934.0,1934.0,,11,,,0,2,0,0,0,0.97529,0.02471
966,967,0,0.029878794,50,0,0,0,0.318734063,4249.681261979,13333,11,6666.5,6666.5,0,3,0,1,0,0.95806,0.04194
969,970,0,0.016658432,53,0,0,0,0.31518720100000003,2836.6848090000003,9000,6,9000.0,0.0,0,1,0,0,0,0.97751,0.02249
974,975,0,0.9999998999999999,55,0,5,0,0.167543201,891.832458923,5323,1,1774.3333333333333,3548.666666666667,1,0,1,2,1,0.43397,0.56603
978,979,0,0.256314605,58,0,3,3,1.511162946,4533.488838,3000,24,3000.0,0.0,0,2,0,0,0,0.75477,0.24523
980,981,0,0.066113797,63,0,0,0,0.621679828,6061.378323,9750,24,3250.0,6500.0,0,2,0,2,0,0.9745,0.0255
982,983,0,0.041992219000000004,32,0,0,0,85.0,,,7,,,0,0,0,0,0,0.95442,0.04558
984,985,0,0.951209758,36,0,0,0,0.061445262,141.93855522,2310,2,770.0,1540.0,0,0,0,2,0,0.81655,0.18345
987,988,0,0.019327551999999998,80,1,0,0,0.180763847,903.819235,5000,11,5000.0,0.0,0,0,0,0,0,0.99429,0.00571
998,999,0,0.040283239,54,0,0,0,0.135553584,1680.8644416,12400,11,12400.0,0.0,0,1,0,0,0,0.98507,0.01493
1000,1001,0,0.6669486960000001,56,0,0,0,0.185055253,1054.8149421,5700,7,5700.0,0.0,0,0,0,0,0,0.96764,0.03236
1001,1002,0,0.181442474,32,0,0,0,0.067877957,593.9321237500001,8750,2,8750.0,0.0,0,0,0,0,0,0.94729,0.05271
1026,1027,0,0.22450706899999998,58,0,0,0,1068.0,1068.0,,8,,,0,1,0,0,0,0.95893,0.04107
1032,1033,0,0.135083219,58,0,0,0,0.06513930700000001,670.9348621,10300,7,3433.3333333333335,6866.666666666666,0,0,0,2,0,0.979,0.021
1035,1036,0,0.038660566,71,1,0,0,0.30808648899999996,2464.691912,8000,7,8000.0,0.0,0,1,0,0,0,0.98978,0.01022
1038,1039,0,0.9999998999999999,27,0,0,0,0.153061224,344.84693767199997,2253,3,2253.0,0.0,0,0,0,0,0,0.85258,0.14742
1048,1049,0,0.50009998,34,0,0,0,0.21107182100000002,1730.7889322,8200,3,8200.0,0.0,0,1,0,0,0,0.9416,0.0584
1055,1056,0,0.520689428,68,0,3,3,0.7773704379999999,4664.2226279999995,6000,9,6000.0,0.0,0,3,0,0,0,0.65618,0.34382
1077,1078,0,0.148225606,63,0,0,0,1313.0,1313.0,,11,,,0,2,0,0,0,0.96917,0.03083
1078,1079,0,0.68028326,80,1,0,0,0.42985336,1963.5701484800002,4568,6,4568.0,0.0,0,1,0,0,0,0.97751,0.02249
1081,1082,0,0.012987013,22,0,0,0,0.0,0.0,0,2,0.0,0.0,0,0,0,0,0,0.88278,0.11722
1086,1087,0,0.8663444709999999,34,0,0,0,0.14802475,310.85197500000004,2100,1,2100.0,0.0,0,0,0,0,0,0.90966,0.09034
1087,1088,0,0.0,87,1,0,0,0.067381539,464.9326191,6900,4,3450.0,3450.0,0,0,0,1,0,0.9932,0.0068
1091,1092,1,0.9999998999999999,41,0,8,0,219.0,219.0,,1,,,2,0,1,,1,0.39603,0.60397
1092,1093,0,0.275326535,66,0,1,1,0.38317757,2254.6168218800003,5884,17,5884.0,0.0,0,1,0,0,0,0.97256,0.02744
1098,1099,0,0.077246781,32,0,0,0,0.36842105299999994,1504.6315804519998,4084,7,4084.0,0.0,0,1,0,0,0,0.95373,0.04627
1099,1100,0,0.328303003,59,0,1,1,0.480057771,4320.519939,9000,9,9000.0,0.0,0,2,0,0,0,0.91102,0.08898
1101,1102,0,0.966275454,37,0,0,0,0.683523654,2932.3164756600004,4290,8,1430.0,2860.0,0,1,0,2,0,0.77288,0.22712
1106,1107,0,0.12347136199999999,63,0,0,0,0.364188164,959.63581214,2635,6,1317.5,1317.5,0,1,0,1,0,0.98127,0.01873
